EMG,english,Functional Name,Image URL,Short Marketing Text,USP,Colors,Pack Sizes,Safety,Utilizare,Preg?tirea suprafe?elor,Preg?tirea produsului,Aplicare,Uscare,Depozitare,Consumption,Yield,Recommended System,Marketing Text,TDS (PDF),Other Documents,Source URL
,OSKAR Magnetic Effect,OSKAR Magnetic Effect,"https://www.oskarvopsea.ro/kentico/getmedia/0f5ec17a-4d20-4adc-831b-cd0c0d4b90f3/OSR826_OSK-Magnetic-Effect-0,5L_5946062024798.png",Transforma orice suprafata intr-una magnetica!,"aspect gri mat
permite acoperirea cu alt? vopsea",,0.5L,,,,,"Suprafa?a de aplicare trebuie s? fie rezistent?, f?r? fisuri, compact?, curat?, uscat? ?i amorsat? anterior cu OSKAR Amors? Zero Mucegai. Este interzis? aplicarea produsului pe suprafe?ele zugr?vite cu hum? sau var, acestea înl?turându-se complet înainte de aplicare.
Amesteca?i ?i omogeniza?i foarte bine produsul (pân? la câteva minute) înainte de aplicare ?i chiar ?i în timpul aplic?rii, dac? este nevoie. Produsul este preg?tit pentru utilizarea imediat? – nu se dilueaz?! Pentru ob?inerea efectului magnetic aplicarea se face în 3 straturi.
Între straturi, suprafe?ele aplicate se las? s? se usuce 24 de ore.
Stratul final de OSKAR Magnetic Effect se neteze?te cu fierul de glet.
Peste OSKAR Magnetic Effect se poate aplica un alt finisaj doar dup? ce produsul este l?sat s? se usuce timp de 24 de ore.
Consumul variaz? în func?ie de rugozitatea suportului ?i gradul de absorbabilitate al acestuia.
Uneltele se cur??? cu ap? ?i s?pun. Cl?ti?i bine chiuveta, particulele de fier pot l?sa pete.","Între straturi, suprafe?ele aplicate se las? s? se usuce 24 ore.","La temperaturi cuprinse între +5° si +35° Celsius, ferit de razele directe ale soarelui ?i de înghe?, în recipiente bine închise.",0.2 L/m²/strat,4.6 m²/L/strat,,,OSKAR Magnetic Effect: https://www.oskarvopsea.ro/kentico/getmedia/263f907d-7dc3-4bbc-8c64-829441092558/OSKAR-Magnetic-Effect.pdf?ext=.pdf,,https://www.oskarvopsea.ro/ro-ro/products/OSKAR-Magnetic-Effect
,OSKAR Glow Effect,OSKAR Glow Effect,"https://www.oskarvopsea.ro/kentico/getmedia/34c472c7-bd20-4795-82a1-4032ec809e16/OSR826_OSK-Glow-Effect-0,33L_5946062024804.png",Vopsea care straluceste in intuneric!,"pe baz? de ap?
str?luce?te în întuneric",,0.33L,,,,,"Suprafa?a de aplicare trebuie s? fie rezistent?, f?r? fisuri, compact?, curat?, uscat? ?i vopsit? anterior cu vopsea lavabil?, preferabil într-o culoare pastelat?.
Amesteca?i ?i omogeniza?i produsul înainte de aplicare. Se poate aplica într-unul sau mai multe straturi. Cu cât se aplic? mai multe straturi, cu atât efectul este mai puternic.
Între straturi, suprafe?ele aplicate se las? s? se usuce 6 ore.
Suprafa?a aplicat? are nevoie de lumin? pentru a se înc?rca. Efectul fosforescent este vizibil în întuneric pân? la 6 ore de la momentul înc?rc?rii.
Consumul variaz? în func?ie de rugozitatea suportului ?i gradul de absorbabilitate al acestuia.
Uneltele se cur??? cu ap? ?i s?pun.","Între straturi, suprafe?ele aplicate se las? s? se usuce 6 ore.","La temperaturi cuprinse între +5° si +35° Celsius, ferit de razele directe ale soarelui ?i de înghe?, în recipiente bine închise.",0.08 - 0.12 L/m²/strat,7.87 - 12.12 m²/L/strat,,,OSKAR Glow Effect: https://www.oskarvopsea.ro/kentico/getmedia/bd3c63aa-f5c0-409d-9996-e7021fa0a958/OSKAR-Glow-Effect.pdf?ext=.pdf,,https://www.oskarvopsea.ro/ro-ro/products/OSKAR-Glow-Effect
,OSKAR ProExpert Opaque,OSKAR ProExpert Opac,https://www.oskarvopsea.ro/kentico/getmedia/c25d665a-8601-4875-a542-d58a1042513e/8-Oskar-Pro-Expert-Opac.png,"Vopsea lavabil? alb?, de calitate profesional?, pentru interior","Alb ?i acoperitor
F?r? dâre ?i nade
Roluire ?i repara?ii u?oare",,"5L, 15L",,"Se recomand? pentru vopsirea suprafe?elor interioare, pere?i sau tavane, gletuite sau tencuite, pl?ci de gips carton, suprafe?e deja acoperite cu vopsea lavabil?, tapet indicat a fi vopsit.",,,"Suprafa?a de aplicare trebuie s? fie rezistent?, f?r? fisuri, compact?, curat?, uscat? ?i amorsat? anterior cu OSKAR Amors? Perete. Este interzis? aplicarea produsului pe suprafe?ele zugr?vite cu hum? sau var, acestea înl?turându-se complet înainte de aplicare
Se recomand? aplicarea vopselei cu ajutorul unei role (trafalet), bidinele sau pensule.
Pentru colorare se recomand? pigmentarea vopselei înainte de aplicare.
Primul strat de vopsea se aplic? diluat cu maxim 5% ap?, se las? s? se usuce aproximativ 2 ore, dup? care se aplic? nediluat cel de-al doilea strat. Lucrarea final? se va l?sa s? se usuce aproximativ 6 ore. Aten?ie! A nu se aplica la temperaturi sub +5°C.
Consumul variaz? în func?ie de rugozitatea suportului ?i gradul de  absorbabilitate al acestuia.",,,0.083 L/m²/strat,12 m²/L/strat,"1 strat OSKAR ProExpert Amorsa Perete;
2 straturi finisaj OSKAR ProExpert Opac","Vopseaua este adresat? zugravilor, meseria?ilor, profesioni?tilor, testat? în rândul lor ?i aprobat? împreun? cu ace?tia;
Re?eta este realizat? special pentru a facilita aplicarea, trafaletul ""alunec?"" pe perete ?i, astfel renovarile sunt mai rapide ?i mai u?or de finalizat;
Produsul are un grad ridicat de alb ?i o acoperire excelent?, aspecte confirmate în toate test?rile realizate pe ?antierele apar?inând dezvoltatorilor imobiliari;
Fiind formulat? special pentru ?antiere, vopseaua permite realizarea de mici repara?ii ulterioare aplicarii;
Randament sporit de minim 12m²/L/strat, în condi?ii de substrat denivelat ?i absorbant.",OSKAR ProExpert Opac: https://www.oskarvopsea.ro/kentico/getmedia/10dfa21e-981c-49c3-9793-fa1514e42727/OSKAR-ProExpert-Opac.pdf?ext=.pdf,,https://www.oskarvopsea.ro/ro-ro/products/OSKAR-ProExpert-Opac
,OSKAR ProExpert Extra Matt,OSKAR ProExpert Extra Mat,https://www.oskarvopsea.ro/kentico/getmedia/345a5b73-b8e3-4d18-bfe0-ad9709e8300b/D-OSKAR-PRO-EXPERT-EXTRA-MAT-DISP-INT-15L_5946062020578-2_1.png,"Vopsea lavabil? alb?, de calitate profesional?, pentru interior","Aspect ultra mat
Nu r?mân dâre ?i urme de trafalet
Nu reflect? lumina",,"5L, 15L",,"Se recomand? pentru vopsirea suprafe?elor interioare, pere?i sau tavane, gletuite sau tencuite, pl?ci de gips carton, suprafe?e deja acoperite cu vopsea lavabil?, tapet indicat a fi vopsit.",,,"Suprafa?a de aplicare trebuie s? fie rezistent?, f?r? fisuri, compact?, curat?, uscat? ?i amorsat? anterior cu Oskar Amorsa Perete. Este interzis? aplicarea produsului pe suprafe?ele zugr?vite cu hum? sau var, acestea înl?turându-se complet înainte de aplicare.
Se recomand? aplicarea vopselei cu ajutorul unei role (trafalet), bidinele sau pensule.
Pentru colorare se recomand? pigmentarea vopselei înainte de aplicare.
Primul strat de vopsea se aplic? diluat cu maxim 5% ap?, se las? s? se usuce aproximativ 2 ore, dup? care se aplic? cel de-al doilea strat diluat 5%. Lucrarea final? se va l?sa s? se usuce aproximativ 6 ore.  Aten?ie! A nu se aplica la temperaturi sub +5°C.
Consumul variaz? în func?ie de rugozitatea suportului ?i de gradul de  absorbabilitate al acestuia.",,,0.083 L/m²/strat,12 m²/L/strat,"1 strat OSKAR Pro Expert Amorsa Perete;
2 straturi finisaj OSKAR Pro Expert Extra Mat","Vopseaua este adresat? zugravilor, meseria?ilor, profesioni?tilor, testat? în rândul lor ?i aprobat? împreun? cu ace?tia;
Re?eta este realizat? special pentru un finisaj perfect, f?r? dâre ?i urme de trafalet. Finisajul mat face ca lumina s? nu se reflecte pe perete, astfel încât imperfec?iunile acestuia nu se v?d;
Produsul are un grad ridicat de alb ?i o acoperire excelent?, aspecte confirmate în toate test?rile realizate pe ?antierele apar?inând dezvoltatorilor imobiliari.",OSKAR ProExpert Extra Mat: https://www.oskarvopsea.ro/kentico/getmedia/bbf985a2-9a4b-4368-9d51-e54be6ab9834/OSKAR-ProExpert-Extra-Mat.pdf?ext=.pdf,,https://www.oskarvopsea.ro/ro-ro/products/OSKAR-ProExpert-Extra-Mat
,OSKAR Coloris,OSKAR Coloris,https://www.oskarvopsea.ro/kentico/getmedia/8c5d42d8-7cc9-4448-aa42-a190fc28c302/10-Oskar-Coloris.png,Vopsea lavabil? colorat? pentru interior,"Acoper? dintr-un singur strat
Culori moderne, gata preparate
U?or de aplicat","Pyramids Mystery intensive, Pyramids Mystery Light, Pyramids Mystery pale, Mountain Spring medium, Mountain Spring light, Mountain Spring pale, Grand Canyon intensive, Grand Canyon soft, Grand Canyon pale, Tropical Sunset intensive, Tropical Sunset medium, Tropical Sunset light, Golden Island soft, Golden Island light, Golden Island pale, Mediteranean Dream medium, Mediteranean Dream soft, Mediteranean Dream pale",5L,,"Se recomand? pentru vopsirea suprafe?elor interioare, pereti sau tavane, gletuite sau tencuite, pl?ci de gips carton, suprafe?e deja acoperite cu vopsea lavabil?, tapet indicat a fi vopsit.",,,"Suprafa?a de aplicare trebuie sa fie rezistent?, f?r? fisuri, compact?, curat?, uscat? si amorsat? anterior cu OSKAR Amors? de perete Oskar. Este interzis? aplicarea produsului pe suprafe?ele zugr?vite cu hum? sau var, acestea înl?turându-se complet înainte de aplicare.
Se recomand? aplicarea vopselei cu ajutorul unei role (trafalet), bidinele sau pensule.
Aplica?i vopseaua nediluat?. Acoper? într-un singur strat! În cazul în care dori?i o nuan?? mai intens? se recomand? aplicarea în dou? straturi. Lucrarea final? se va l?sa s? se usuce aproximativ 6 ore.  Aten?ie! A nu se aplica la temperaturi sub +5?C.
Consumul variaz? în func?ie de rugozitatea suportului ?i de gradul de  absorbabilitate al acestuia.",,,0.1 L/m²/strat,10 m²/L/strat,"1 strat OSKAR Amors? ZeroMucegai;
1 strat finisaj OSKAR Coloris","Acoper? perfect dintr-un singur strat, ceea ce înseamn? c? timpul de aplicare ?i cantitatea de munc? se reduc la jum?tate;
5L de vopsea care acoper? într-un singur strat fac cât o vopsea de 10L care acoper? în 2 straturi, fiind suficient? pentru decorarea unei camere de 12 m²;
Ofer? o gam? larg? de nuan?e, special gândit? pentru preferin?ele consumatorilor din România, predominând culorile de galben, portocaliu ?i maron, cu intensit??i pastelate, dar ?i accent;
Confer? o solu?ie mai economic? decât colorarea computerizat? ?i mai sigur? din punct de vedere duplicare culoare decât colorarea cu pigment manual;
Este foarte u?or de aplicat de c?tre aplicatorii neprofesioni?ti, dar ?i de c?tre cei profesioni?ti.",OSKAR Coloris: https://www.oskarvopsea.ro/kentico/getmedia/0cb5fa26-bc1c-407b-b6c3-dba91c9ee6b9/OSKAR-COLORIS.pdf?ext=.pdf,,https://www.oskarvopsea.ro/ro-ro/products/OSKAR-Coloris
,OSKAR Super Colour,OSKAR Super Culoare,https://www.oskarvopsea.ro/kentico/getmedia/6f7c0f5f-9998-4d96-a209-2a811dc81d38/11-Oskar-Super-Culoare.png,Vopsea baza de colorare pentru interior/exterior,"Super-lavabil?
Rezistent? la mucegai
Culoare clar?, luminoas?",,"2.5L, 8.5L, 15L",,"Se recomand? pentru vopsirea suprafe?elor interioare/exterioare gletuite sau tencuite, pl?ci de gips carton, suprafe?e deja acoperite cu vopsea lavabil?.Aplicare:
Suprafa?a de aplicare trebuie s? fie rezistent?, f?r? fisuri, compact?, curat?, uscat?, ?i amorsat? anterior cu OSKAR Amors? de Perete. Este interzis? aplicarea produsului pe suprafe?e zugr?vite cu hum? sau var, acestea înl?turându-se complet înainte de aplicare. Obligatoriu, se va consulta operatorul care nuan?eaz? vopseaua!
Se recomand? aplicarea vopselei cu ajutorul unei role (trafalet), bidinele sau pensule.
Primul strat se aplic? diluat cu maxim 5% ap?, se las? s? se usuce maxim 12 ore, dup? care se aplic? al doilea strat nediluat. Lucrarea final? se va l?sa s? se usuce minim 24 ore. Aten?ie! a nu se aplica la temperaturi sub +5?C
Consumul variaz? în func?ie de rugozitatea suportului ?i gradul de absorbabilitate al acestuia.
Se interzice aplicarea produsului ca atare, fara a fi nuantat.",,,"Suprafa?a de aplicare trebuie s? fie rezistent?, f?r? fisuri, compact?, curat?, uscat?, ?i amorsat? anterior cu OSKAR Amors? de Perete. Este interzis? aplicarea produsului pe suprafe?e zugr?vite cu hum? sau var, acestea înl?turându-se complet înainte de aplicare. Obligatoriu, se va consulta operatorul care nuan?eaz? vopseaua!
Se recomand? aplicarea vopselei cu ajutorul unei role (trafalet), bidinele sau pensule.
Primul strat se aplic? diluat cu maxim 5% ap?, se las? s? se usuce maxim 12 ore, dup? care se aplic? al doilea strat nediluat. Lucrarea final? se va l?sa s? se usuce minim 24 ore. Aten?ie! a nu se aplica la temperaturi sub +5?C
Consumul variaz? în func?ie de rugozitatea suportului ?i gradul de absorbabilitate al acestuia.
Se interzice aplicarea produsului ca atare, fara a fi nuantat.",,,0.1 L/m²/strat,10 m²/L/strat,"1 strat OSKAR Amors? Zero Mucegai
2 straturi finisaj OSKAR Super Culoare","Culorile sunt vii, clare;
Culorile pentru exterior au rezisten?? la razele UV, intemperii ?i modific?ri de temperatur?;
Vopseaua este super-lavabil?, permite ?tergerea urmelor de mâini din jurul prizelor ?i întrerup?toarelor f?r? ca pelicula s? se deterioreze;
Este rezistent? la mucegai, p?strând un mediu mai s?n?tos;
Asigur? cea mai eficient? ?i economic? colorare, datorit? formul?rii speciale a bazelor ?i a folosirii unei cantit??i optime de pigment pentru nuan?are;
Este garantat? acurate?ea culorii la duplic?rile ulterioare.",OSKAR Super Culoare: https://www.oskarvopsea.ro/kentico/getmedia/3b18c3ec-e7db-40b3-8c58-0376e0454488/OSKAR-SuperCuloare.pdf?ext=.pdf,,https://www.oskarvopsea.ro/ro-ro/products/OSKAR-Super-Culoare-Int
,OSKAR SuperWeiss Ceiling,OSKAR SuperWeiss Tavan,"https://www.oskarvopsea.ro/kentico/getmedia/347f947e-12c0-41ad-bf84-55c88a911ff7/OSR716_SW-Tavan-2,5L_2.PNG","Vopsea lavabila, super-alba, speciala pentru tavane","Perfect neted: f?r? dâre sau imperfec?iuni
Perfect alb: luminos
Nu strope?te",,2.5L,,"Se recomand? pentru vopsirea tavanelor, gletuite sau tencuite, pl?ci de gips carton, suprafe?e deja acoperite cu vopsea lavabil?.",,,"Suprafa?a de aplicare trebuie sa fie rezistent?, f?r? fisuri, compact?, curat?, uscat? ?i amorsat? anterior cu OSKAR Amors? Perete. Este interzis? aplicarea produsului pe suprafe?ele zugr?vite cu hum? sau var, acestea înl?turându-se complet înainte de aplicare.
Se recomand? aplicarea vopselei cu ajutorul unei role (trafalet), bidinele sau pensule.
Pentru colorare se recomand? pigmentarea vopselei inainte de aplicare cu OSKAR Pigment.
Primul strat de vopsea se aplic? diluat cu maxim 10% ap?, se las? sa se usuce aproximativ 2 ore, dup? care se aplic? cel de-al doilea strat diluat cu 5% ap?. Lucrarea final? se va l?sa s? se usuce aproximativ 6 ore. Aten?ie! A nu se aplica la temperaturi sub +5?C.
Consumul variaz? în func?ie de rugozitatea suportului ?i de gradul de  absorbabilitate al acestuia.",,,0.083 L/m²/strat,12 m²/L/strat,"1 strat OSKAR  Amors? ZeroMucegai;
2 straturi finisaj OSKAR SuperWeiss TAVAN","Este singura vopsea special conceput? pentru vopsirea perfect? a tavanelor;
Înc? din momentul aplic?rii, vopseaua ader? perfect la suprafa?a orizontal? ?i nu strope?te aplicatorul. Trafaletul alunec? u?or ?i vopseaua se aplic? f?r? nici o greutate, acoperind perfect toat? suprafa?a tavanului;
Este preferat la lucr?rile cu preten?ii de finisaj perfect, tip ""coal? de hartie"" precum hoteluri, resturante, ansambluri ?i vile reziden?iale;
Doar cu Oskar SuperWeiss Tavan rezultatul final este unul de un alb luminos, perfect neted, f?r? dâre sau imperfec?iuni.",OSKAR SuperWeiss Tavan: https://www.oskarvopsea.ro/kentico/getmedia/6e63a331-32fa-45da-a855-38972bbb5433/OSKAR-Superweiss-Tavan.pdf?ext=.pdf,,https://www.oskarvopsea.ro/ro-ro/products/OSKAR-SuperWeiss-Tavan
,OSKAR Silikon,OSKAR Silikon,https://www.oskarvopsea.ro/kentico/getmedia/3cf51b09-a4a3-43a0-8ba2-9264a7668601/OKR764_OSKAR-SILIKON-DISP-EXT-15L_5946062008798.png,"Vopsea ultrarezistent?, flexibil? ?i impermeabil?, pentru exterior, cu Silicon Latex","Impermeabil?
Membran? flexibil?
Protec?ie la intemperii",,"5L, 15L",,"Se recomand? pentru vopsirea suprafe?elor exterioare ?i interioare gletuite sau tencuite, pl?ci de gips carton, suprafe?e deja acoperite cu vopsea lavabil?.",,,"Suprafa?a de aplicare trebuie sa fie rezistent?, f?r? fisuri, compact?, curat?, uscat? ?i amorsat? anterior cu OSKAR Amors? Perete. Este interzis? aplicarea produsului pe suprafe?ele zugr?vite cu hum? sau var, acestea înl?turându-se complet înainte de aplicare
Se recomand? aplicarea vopselei cu ajutorul unei role (trafalet), bidinele sau pensule.
Pentru colorare se recomand? pigmentarea vopselei inainte de aplicare.
Primul strat de vopsea se aplic? diluat cu maxim 5% ap?, se las? s? se usuce aproximativ 2 ore, dup? care se aplic? nediluat cel de-al doilea strat. Lucrarea final? se va l?sa s? se usuce aproximativ 6 ore. Aten?ie! A nu se aplica la temperaturi sub +5?C.
Consumul variaz? în func?ie de rugozitatea suportului ?i gradul de  absorbabilitate al acestuia.",,,0.1 L/m²/strat,10 m²/L/strat,"1 strat OSKAR ZeroMucegai;
2 straturi finisaj OSKAR Silikon","Con?ine Silicon care îi confer? propriet??i elastice, adic? la modific?rile de temperatur?, pelicula se poate dilata ?i contracta f?r? s? se fisureze;
Datorit? Siliconului, apa nu poate p?trunde prin pelicula de vopsea, ceea ce confer? o extra protec?ie pentru fa?ade ?i o via?? mai lung?;
Este ultralavabil, putând fi sp?lat cu furtunul cu ap?, f?r? ca pelicula s? se deterioreze;
Protejeaz? ?i las? peretele s? respire;
Confer? protec?ie împotriva intemperiilor ?i este rezistent la ac?iunea razelor UV;
Este preferat pentru lucr?rile cu preten?ii de superfinisaj la exterior: vile, ansambluri reziden?iale, hoteluri, obiective importante de arhitectur?.",OSKAR Silikon: https://www.oskarvopsea.ro/kentico/getmedia/4060dce3-c162-42ae-94f6-1efa57dde787/OSKAR-Silikon-Ext.pdf?ext=.pdf,,https://www.oskarvopsea.ro/ro-ro/products/OSKAR-Silikon
,OSKAR Super Colour,OSKAR Super Culoare,https://www.oskarvopsea.ro/kentico/getmedia/a4c2c2d2-4b20-44c4-8b2b-1e6689ca9620/15-Oskar-Super-Culoare.png,Vopsea baz? de colorare pentru interior/exterior,"Super-lavabil?
Rezistent? la mucegai
Culoare clar?, luminoas?",,"2.5L, 8.5L, 15L",,"Se recomand? pentru vopsirea suprafe?elor gletuite sau tencuite, pl?ci de gips carton, suprafe?e deja acoperite cu vopsea lavabil?.Aplicare:
Suprafa?a de aplicare trebuie s? fie rezistent?, f?r? fisuri, compact?, curat?, uscat?, ?i amorsat? anterior cu OSKAR Amors? de Perete. Este interzis? aplicarea produsului pe suprafe?e zugr?vite cu hum? sau var, acestea înl?turându-se complet înainte de aplicare. Obligatoriu, se va consulta operatorul care nuan?eaz? vopseaua!
Se recomand? aplicarea vopselei cu ajutorul unei role (trafalet), bidinele sau pensule.
Primul strat se aplic? diluat cu maxim 5% ap?, se las? s? se usuce maxim 12 ore, dup? care se aplic? al doilea strat nediluat. Lucrarea final? se va l?sa s? se usuce minim 24 ore. Aten?ie! a nu se aplica la temperaturi sub +5?C
Consumul variaz? în func?ie de rugozitatea suportului ?i gradul de absorbabilitate al acestuia.
Se interzice aplicarea produsului ca atare, fara a fi nuantat.",,,"Suprafa?a de aplicare trebuie s? fie rezistent?, f?r? fisuri, compact?, curat?, uscat?, ?i amorsat? anterior cu OSKAR Amors? de Perete. Este interzis? aplicarea produsului pe suprafe?e zugr?vite cu hum? sau var, acestea înl?turându-se complet înainte de aplicare. Obligatoriu, se va consulta operatorul care nuan?eaz? vopseaua!
Se recomand? aplicarea vopselei cu ajutorul unei role (trafalet), bidinele sau pensule.
Primul strat se aplic? diluat cu maxim 5% ap?, se las? s? se usuce maxim 12 ore, dup? care se aplic? al doilea strat nediluat. Lucrarea final? se va l?sa s? se usuce minim 24 ore. Aten?ie! a nu se aplica la temperaturi sub +5?C
Consumul variaz? în func?ie de rugozitatea suportului ?i gradul de absorbabilitate al acestuia.
Se interzice aplicarea produsului ca atare, fara a fi nuantat.",,,0.1 L/m²/strat,10 m²/L/strat,"1 strat OSKAR Amors? Zero Mucegai;
2 straturi finisaj OSKAR Super Culoare","Culorile sunt vii, clare;
Culorile pentru exterior au rezisten?? la razele UV, intemperii ?i modific?ri de temperatur?;
Vopseaua este super-lavabil?, permite ?tergerea urmelor de mâini din jurul prizelor ?i întrerup?toarelor f?r? ca pelicula s? se deterioreze;
Este rezistent? la mucegai, p?strând un mediu mai s?n?tos;
Asigur? cea mai eficient? ?i economic? colorare, datorit? formul?rii speciale a bazelor ?i a folosirii unei cantit??i optime de pigment pentru nuan?are;
Este garantat? acurate?ea culorii la duplic?rile ulterioare.",OSKAR Super Culoare: https://www.oskarvopsea.ro/kentico/getmedia/477f5499-d491-48a5-87e9-d154f359d18a/OSKAR-SuperCuloare.pdf?ext=.pdf,,https://www.oskarvopsea.ro/ro-ro/products/OSKAR-Super-Culoare-Ext
,OSKAR 3Teck Rice Grain,OSKAR 3Teck Bob de Orez,https://www.oskarvopsea.ro/kentico/getmedia/b8aafacd-8935-447c-9335-f822936e5592/OSKAR-3TECK-BOB-DE-OREZ-25KG_5946062010579.png,"Tencuial? siliconic? rezistent? la ap?, impact ?i ?ocuri mecanice, cu protec?ie anti-fungi ?i anti-alge","Aqua Protect
Impact Protect
Fungi Protect",,25kg,Utiliza?i biocidele în siguran??. Citi?i întotdeauna eticheta ?i informa?iile despre produs înainte de utilizare.,,,,"Se omogenizeaz? ?i se aplic? cu fierul de glet la grosimea granulei, apoi se dri?cuie rotund cu dri?ca din material plastic. A nu se lucra sub +5?C.",,,2.4-2.8 kg/m²,25kg: 9-10m²,"1 strat grund Fassaden Grund
1 strat finisaj OSKAR 3Teck","Prin tripla sa barier? de protec?ie, ofer? maxim? siguran?? împotriva oric?rei amenin??ri a mediului exterior:
AQUA Protect - protec?ie împotriva apei ?i umidit??ii datorit? r??inei siliconice care impermeabilizeaz? perfect;
IMPACT Protect - protec?ie la impact ?i ?ocuri mecanice gra?ie extra rezisten?ei ?i durit??ii conferite de Microsferele Ceramice;
FUNGI & ALGAE Protect - protec?ie împotriva mucegaiului, igrasiei ?i a algelor negre sau verzi, datorit? formulei cu inhibitori anti-contaminare biologic? de ultim? genera?ie;
Confer? economie pe termen lung, deoarece fa?adele vor necesita o nou? renovare în 20 de ani, fa?? de 10 ani cât rezist? o tencuial? obi?nuit?;
Este preferat pentru lucr?rile cu preten?ii de superfinisaj la exterior: vile, ansambluri eziden?iale, hoteluri, obiective importante de arhitectur?;
Structur? bob de orez.",OSKAR 3Teck Bob de Orez: https://www.oskarvopsea.ro/kentico/getmedia/bcf6b6a9-cb3e-40be-ac4f-e1292e47569d/OSKAR-3Teck-Bob-de-Orez.pdf?ext=.pdf,,https://www.oskarvopsea.ro/ro-ro/products/OSKAR-3Teck-Bob-de-Orez
,OSKAR 3Teck Tree Bark,OSKAR 3Teck Scoar?? de Copac,https://www.oskarvopsea.ro/kentico/getmedia/91c4e850-ef6e-4d99-8fe3-901c8f9a5867/OSKAR-3TECK-SCOARTA-DE-COPAC-25KG_5946062010562.png,"Tencuial? siliconic? rezistent? la ap?, impact ?i ?ocuri mecanice, cu protec?ie anti-fungi ?i anti-alge","Aqua Protect
Impact Protect
Fungi Protect","Alb filde?, Alb grafit, Teracotta, Magnolia, Gold, Cappuccino, Caramel, Vanilie, Mandarin, Ciocolat?, Antracit, Granola",25kg,Utiliza?i biocidele în siguran??. Citi?i întotdeauna eticheta ?i informa?iile despre produs înainte de utilizare.,,,,"Se omogenizeaz? ?i se aplic? cu fierul de glet la grosimea granulei, apoi se dri?cuie rotund cu dri?ca din material plastic. Structura “scoar?? de copac” se poate dri?cui ?i vertical sau orizontal. A nu se lucra sub +5?C.",,,2.4-2.8 kg/m²,25kg: 9-10m²,"1 strat grund Fassaden Grund;
1 strat finisaj OSKAR 3Teck","Prin tripla sa barier? de protec?ie, ofer? maxim? siguran?? împotriva oric?rei amenin??ri a mediului exterior:
AQUA Protect - protec?ie împotriva apei ?i umidit??ii datorit? r??inei siliconice care impermeabilizeaz? perfect;
IMPACT Protect - protec?ie la impact ?i ?ocuri mecanice gra?ie extra rezisten?ei ?i durit??ii conferite de Microsferele Ceramice;
FUNGI & ALGAE Protect - protec?ie împotriva mucegaiului, igrasiei ?i a algelor negre sau verzi, datorit? formulei cu inhibitori anti-contaminare biologic? de ultim? genera?ie;
Confer? economie pe termen lung, deoarece fa?adele vor necesita o nou? renovare în 20 de ani, fa?? de 10 ani cât rezist? o tencuial? obi?nuit?;
Este preferat pentru lucr?rile cu preten?ii de superfinisaj la exterior: vile, ansambluri reziden?iale, hoteluri, obiective importante de arhitectur?;
Structura scoar?? de copac.",OSKAR 3Teck Scoar?? de Copac: https://www.oskarvopsea.ro/kentico/getmedia/176df2bc-965c-4a0b-a0e0-5441d3576294/OSKAR-3Teck-Scoarta-de-Copac.pdf?ext=.pdf,AVIZ: https://www.oskarvopsea.ro/getattachment/79e61555-1ac7-4091-b4ad-bbcbbc098540/17-1-Oskar-3-Teck-Scoarta-de-Copac.pdf?lang=ro-RO&ext=.pdf,https://www.oskarvopsea.ro/ro-ro/products/OSKAR-3Teck-Scoarta-de-Copac
,OSKAR Mosaic,OSKAR Mosaik,https://www.oskarvopsea.ro/kentico/getmedia/3c0e0bd1-b279-4935-b4a0-ff6135b1c328/OSK913_P-CERAMIC-MOSAIK-TENC-MOZAIC-9706-25-KG_5946062005544.png,"Tencuial? mozaic extra durabil?, cu rezisten?? sporit? la intemperii ?i ?ocuri mecanice","Cu Microsfere Ceramice pentru extra rezisten?? la lovire ?i zgâriere
Rezisten?? la uzur? ?i intemperii
Culoare constant? în timp","9701, 9702, 9703, 9704, 9705, 9706, 9709, 9710, 9712, 9715, 9717, 9718, 9720, 9721, 9722, 9726, 9727, 9730, 9731, 9732, 9733",25kg,,,,,Se omogenizeaza si se aplic? cu fierul de glet la grosimea granulei ?i se neteze?te cu acela?i fier de glet. A nu se lucra sub +5º C.,,,4.0-4.5 kg/m²,,"1 strat grund Fassaden Grund;
1 strat finisaj OSKAR Mosaik","Con?ine Microsfere Ceramice protectoare, care confer? produsului rezisten??, duritate ?i flexibilitate;
Este un produs decorativ pe baz? de marmur? natural? colorat?, pentru un aspect premium, natural;
Confer? rezisten?? excelent? la fisuri, lovituri mecanice, zgâriere, precum ?i la intemperii, modific?ri de temperatur?, factori chimici ?i poluare;
Microsferele Ceramice perfect sferice confer? o aplicare extrem de u?oar? ?i pierderi de material reduse, ob?inându-se astfel economie de produs ?i reducerea timpului de aplicare;
Confer? economie pe termen lung, deoarece soclurile vor necesita o nou? renovare în 20 de ani, fa?? de 10 ani cât rezist? o tencuial? mozaicat? obi?nuit?;
Este preferat pentru zonele foarte solicitate unde este nevoie de extraprotec?ie: socluri de vile, coridoare cu trafic intens, casa sc?rii, etc.",OSKAR Mosaik: https://www.oskarvopsea.ro/kentico/getmedia/abdd1184-e56a-488d-9f08-308cf6ee2f9b/OSKAR-Mosaik.pdf?ext=.pdf,,https://www.oskarvopsea.ro/ro-ro/products/OSKAR-Mosaik
